#  step      rmse_trn   rmse_ados_trn         lr
      0      3.57e+00      3.57e+00    1.0e-03
   1000      5.88e-02      5.88e-02    1.0e-03
   2000      3.87e-02      3.87e-02    1.0e-03
   3000      2.83e-02      2.83e-02    1.0e-03
   4000      4.35e-02      4.35e-02    1.0e-03
   5000      1.61e-02      1.61e-02    9.9e-04
   6000      4.61e-02      4.61e-02    9.9e-04
   7000      1.17e-02      1.17e-02    9.9e-04
   8000      1.23e-02      1.23e-02    9.9e-04
   9000      1.32e-02      1.32e-02    9.9e-04
  10000      1.51e-02      1.51e-02    9.8e-04
  11000      1.04e-02      1.04e-02    9.8e-04
  12000      5.74e-03      5.74e-03    9.8e-04
  13000      9.69e-03      9.69e-03    9.8e-04
  14000      1.13e-02      1.13e-02    9.8e-04
  15000      8.68e-03      8.68e-03    9.7e-04
  16000      1.96e-02      1.96e-02    9.7e-04
  17000      7.01e-03      7.01e-03    9.7e-04
  18000      1.00e-02      1.00e-02    9.7e-04
  19000      9.42e-03      9.42e-03    9.7e-04
  20000      7.93e-03      7.93e-03    9.5e-04
  21000      7.76e-03      7.76e-03    9.5e-04
  22000      3.11e-02      3.11e-02    9.5e-04
  23000      8.96e-03      8.96e-03    9.5e-04
  24000      7.54e-03      7.54e-03    9.5e-04
  25000      8.65e-03      8.65e-03    9.4e-04
  26000      1.47e-02      1.47e-02    9.4e-04
  27000      8.25e-03      8.25e-03    9.4e-04
  28000      6.83e-03      6.83e-03    9.4e-04
  29000      8.48e-03      8.48e-03    9.4e-04
  30000      8.23e-03      8.23e-03    9.3e-04
  31000      6.18e-03      6.18e-03    9.3e-04
  32000      9.75e-03      9.75e-03    9.3e-04
  33000      8.09e-03      8.09e-03    9.3e-04
  34000      9.09e-03      9.09e-03    9.3e-04
  35000      1.11e-02      1.11e-02    9.2e-04
  36000      7.27e-03      7.27e-03    9.2e-04
  37000      7.47e-03      7.47e-03    9.2e-04
  38000      9.84e-03      9.84e-03    9.2e-04
  39000      1.27e-02      1.27e-02    9.2e-04
  40000      9.66e-03      9.66e-03    9.1e-04
  41000      7.66e-03      7.66e-03    9.1e-04
  42000      7.54e-03      7.54e-03    9.1e-04
  43000      1.25e-02      1.25e-02    9.1e-04
  44000      7.80e-03      7.80e-03    9.1e-04
  45000      6.50e-03      6.50e-03    9.0e-04
  46000      6.30e-03      6.30e-03    9.0e-04
  47000      5.63e-03      5.63e-03    9.0e-04
  48000      9.24e-03      9.24e-03    9.0e-04
  49000      9.47e-03      9.47e-03    9.0e-04
  50000      8.10e-03      8.10e-03    8.9e-04
  51000      6.65e-03      6.65e-03    8.9e-04
  52000      7.36e-03      7.36e-03    8.9e-04
  53000      7.55e-03      7.55e-03    8.9e-04
  54000      6.72e-03      6.72e-03    8.9e-04
