#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.91e+01      9.23e-01      9.19e-01    1.0e-03
   1000      5.03e+00      1.59e-01      1.59e-01    1.0e-03
   2000      3.71e+00      4.36e-02      1.17e-01    1.0e-03
   3000      4.14e+00      3.39e-03      1.31e-01    1.0e-03
   4000      5.45e+00      1.89e-02      1.72e-01    1.0e-03
   5000      3.41e+00      2.06e-02      1.09e-01    9.7e-04
   6000      3.17e+00      9.02e-03      1.02e-01    9.7e-04
   7000      4.94e+00      1.60e-02      1.58e-01    9.7e-04
   8000      2.90e+00      1.11e-02      9.29e-02    9.7e-04
   9000      3.00e+00      5.97e-03      9.62e-02    9.7e-04
  10000      2.99e+00      4.66e-02      9.68e-02    9.5e-04
  11000      2.88e+00      6.39e-02      9.32e-02    9.5e-04
  12000      2.61e+00      9.94e-02      8.37e-02    9.5e-04
  13000      2.68e+00      9.04e-03      8.69e-02    9.5e-04
  14000      3.44e+00      3.30e-03      1.12e-01    9.5e-04
  15000      2.44e+00      3.09e-03      8.02e-02    9.3e-04
  16000      2.86e+00      7.01e-03      9.39e-02    9.3e-04
  17000      1.57e+00      1.25e-02      5.15e-02    9.3e-04
  18000      2.27e+00      1.67e-02      7.46e-02    9.3e-04
  19000      1.85e+00      1.25e-02      6.07e-02    9.3e-04
  20000      2.17e+00      2.75e-02      7.21e-02    9.0e-04
  21000      2.84e+00      5.27e-03      9.47e-02    9.0e-04
  22000      2.39e+00      3.03e-03      7.97e-02    9.0e-04
  23000      2.83e+00      3.24e-02      9.42e-02    9.0e-04
  24000      2.20e+00      8.43e-02      7.22e-02    9.0e-04
  25000      1.74e+00      1.24e-02      5.85e-02    8.8e-04
  26000      2.35e+00      4.57e-03      7.92e-02    8.8e-04
  27000      1.87e+00      1.34e-02      6.30e-02    8.8e-04
  28000      2.28e+00      3.01e-03      7.68e-02    8.8e-04
  29000      2.71e+00      9.58e-02      9.00e-02    8.8e-04
  30000      2.43e+00      5.09e-03      8.28e-02    8.6e-04
  31000      2.26e+00      4.28e-03      7.73e-02    8.6e-04
  32000      2.13e+00      1.25e-02      7.25e-02    8.6e-04
  33000      2.08e+00      3.60e-03      7.09e-02    8.6e-04
  34000      2.08e+00      8.96e-03      7.09e-02    8.6e-04
  35000      2.19e+00      4.36e-03      7.56e-02    8.4e-04
  36000      2.18e+00      2.47e-03      7.53e-02    8.4e-04
  37000      2.26e+00      1.41e-02      7.81e-02    8.4e-04
  38000      2.23e+00      7.05e-03      7.72e-02    8.4e-04
  39000      1.55e+00      2.34e-02      5.35e-02    8.4e-04
  40000      2.54e+00      1.85e-02      8.90e-02    8.1e-04
  41000      1.47e+00      1.81e-03      5.15e-02    8.1e-04
  42000      1.53e+00      3.92e-03      5.37e-02    8.1e-04
  43000      1.94e+00      9.00e-03      6.80e-02    8.1e-04
  44000      2.76e+00      1.01e-02      9.65e-02    8.1e-04
  45000      1.86e+00      6.07e-03      6.60e-02    7.9e-04
  46000      1.58e+00      2.07e-03      5.62e-02    7.9e-04
  47000      1.94e+00      5.69e-03      6.88e-02    7.9e-04
  48000      2.06e+00      8.67e-03      7.31e-02    7.9e-04
  49000      1.72e+00      3.34e-03      6.10e-02    7.9e-04
  50000      1.96e+00      3.26e-03      7.06e-02    7.7e-04
