#  step      rmse_trn   rmse_lc_trn         lr
      0      2.10e-01      2.10e-01    1.0e-02
   1000      4.03e-03      4.03e-03    1.0e-02
   2000      3.53e-03      3.53e-03    1.0e-02
   3000      2.87e-03      2.87e-03    1.0e-02
   4000      7.01e-03      7.01e-03    1.0e-02
   5000      8.38e-03      8.38e-03    9.7e-03
   6000      3.01e-03      3.01e-03    9.7e-03
   7000      1.46e-02      1.46e-02    9.7e-03
   8000      1.94e-03      1.94e-03    9.7e-03
   9000      1.77e-03      1.77e-03    9.7e-03
  10000      4.84e-03      4.84e-03    9.5e-03
  11000      3.58e-03      3.58e-03    9.5e-03
  12000      4.32e-03      4.32e-03    9.5e-03
  13000      3.57e-03      3.57e-03    9.5e-03
  14000      6.41e-03      6.41e-03    9.5e-03
  15000      5.99e-03      5.99e-03    9.3e-03
  16000      4.07e-03      4.07e-03    9.3e-03
  17000      3.42e-03      3.42e-03    9.3e-03
  18000      2.95e-03      2.95e-03    9.3e-03
  19000      2.37e-03      2.37e-03    9.3e-03
  20000      3.94e-03      3.94e-03    9.0e-03
  21000      1.98e-03      1.98e-03    9.0e-03
  22000      2.67e-03      2.67e-03    9.0e-03
  23000      2.31e-03      2.31e-03    9.0e-03
  24000      6.73e-03      6.73e-03    9.0e-03
  25000      5.44e-03      5.44e-03    8.8e-03
  26000      4.47e-03      4.47e-03    8.8e-03
  27000      3.45e-03      3.45e-03    8.8e-03
  28000      3.89e-03      3.89e-03    8.8e-03
  29000      3.64e-03      3.64e-03    8.8e-03
  30000      1.13e-02      1.13e-02    8.6e-03
  31000      7.96e-03      7.96e-03    8.6e-03
  32000      4.98e-03      4.98e-03    8.6e-03
  33000      4.70e-03      4.70e-03    8.6e-03
  34000      1.15e-02      1.15e-02    8.6e-03
  35000      9.11e-03      9.11e-03    8.4e-03
  36000      2.94e-03      2.94e-03    8.4e-03
  37000      3.26e-03      3.26e-03    8.4e-03
  38000      2.92e-03      2.92e-03    8.4e-03
  39000      1.93e-03      1.93e-03    8.4e-03
  40000      2.96e-03      2.96e-03    8.1e-03
  41000      2.44e-03      2.44e-03    8.1e-03
  42000      1.82e-03      1.82e-03    8.1e-03
  43000      1.67e-02      1.67e-02    8.1e-03
  44000      5.18e-03      5.18e-03    8.1e-03
  45000      5.43e-03      5.43e-03    7.9e-03
  46000      5.31e-03      5.31e-03    7.9e-03
  47000      3.90e-03      3.90e-03    7.9e-03
  48000      4.04e-03      4.04e-03    7.9e-03
  49000      2.82e-03      2.82e-03    7.9e-03
  50000      5.87e-03      5.87e-03    7.7e-03
  51000      2.86e-03      2.86e-03    7.7e-03
  52000      2.60e-03      2.60e-03    7.7e-03
  53000      5.65e-03      5.65e-03    7.7e-03
  54000      3.77e-03      3.77e-03    7.7e-03
  55000      2.82e-03      2.82e-03    7.5e-03
  56000      3.38e-03      3.38e-03    7.5e-03
  57000      2.33e-03      2.33e-03    7.5e-03
  58000      3.49e-03      3.49e-03    7.5e-03
  59000      2.13e-03      2.13e-03    7.5e-03
  60000      4.25e-03      4.25e-03    7.4e-03
  61000      8.88e-03      8.88e-03    7.4e-03
  62000      7.05e-03      7.05e-03    7.4e-03
  63000      4.77e-03      4.77e-03    7.4e-03
  64000      4.38e-03      4.38e-03    7.4e-03
  65000      8.99e-03      8.99e-03    7.2e-03
  66000      1.82e-02      1.82e-02    7.2e-03
  67000      3.11e-03      3.11e-03    7.2e-03
  68000      6.28e-03      6.28e-03    7.2e-03
  69000      2.89e-03      2.89e-03    7.2e-03
  70000      9.32e-03      9.32e-03    7.0e-03
  71000      2.50e-03      2.50e-03    7.0e-03
  72000      2.37e-03      2.37e-03    7.0e-03
  73000      2.48e-03      2.48e-03    7.0e-03
  74000      3.74e-03      3.74e-03    7.0e-03
  75000      2.54e-03      2.54e-03    6.8e-03
  76000      2.48e-03      2.48e-03    6.8e-03
  77000      2.31e-03      2.31e-03    6.8e-03
  78000      3.49e-03      3.49e-03    6.8e-03
  79000      2.64e-03      2.64e-03    6.8e-03
  80000      2.34e-03      2.34e-03    6.6e-03
  81000      2.93e-03      2.93e-03    6.6e-03
  82000      2.61e-03      2.61e-03    6.6e-03
  83000      5.18e-03      5.18e-03    6.6e-03
